2019/10/25 06:16:18 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /weathermap/editor.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:16:36 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /elrekt.php?s=%2f%69%6e%64%65%78%2f%5c%74%68%69%6e%6b%5c%61%70%70%2f%69%6e%76%6f%6b%65%66%75%6e%63%74%69%6f%6e&function=%63%61%6c%6c%5f%75%73%65%72%5f%66%75%6e%63%5f%61%72%72%61%79&vars[0]=%6d%645&vars[1][]=%48%65%6c%6c%6f%54%68%69%6e%6b%50%48%50 HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:17:16 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /d7.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:17:16 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /rxr.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:17:17 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /1x.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:17:17 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /home.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:17:18 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /undx.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:17:19 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /spider.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:17:19 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /payload.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:17:21 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /composers.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:17:21 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /izom.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:17:22 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /composer.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:17:23 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /hue2.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:17:23 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /Drupal.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:17:24 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /lang.php?f=1 HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
